,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
891,Goldfinger,1964,110 min,"Action, Adventure, Thriller            ",7.7,87,"187,935",$51.08M,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",PG
892,The Birds,1963,119 min,"Drama, Horror, Mystery            ",7.7,90,"185,810",$11.40M,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,PG-13
893,The Longest Day,1962,178 min,"Action, Drama, History            ",7.7,75,"55,513",$39.10M,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",G
894,Cape Fear,1962,106 min,"Drama, Thriller            ",7.7,76,"28,980",None,A lawyer's family is stalked by a man he once helped put in jail.,Passed
895,Jules and Jim,1962,105 min,"Drama, Romance            ",7.7,97,"41,113",None,Decades of a love triangle concerning two friends and an impulsive woman.,Not Rated
896,The Magnificent Seven,1960,128 min,"Action, Adventure, Western            ",7.7,74,"94,060",$4.91M,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,Approved
897,Breathless,1960,90 min,"Crime, Drama            ",7.7,None,"80,093",$0.34M,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",Not Rated
898,Invasion of the Body Snatchers,1956,80 min,"Drama, Horror, Sci-Fi            ",7.7,92,"49,219",None,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,Approved
899,The Caine Mutiny,1954,124 min,"Drama, War            ",7.7,63,"27,457",$21.75M,"When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny.",Not Rated
900,The Quiet Man,1952,129 min,"Comedy, Drama, Romance            ",7.7,85,"38,423",$10.55M,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",Passed
901,The African Queen,1951,105 min,"Adventure, Drama, Romance            ",7.7,91,"78,014",$0.54M,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.",PG
902,Key Largo,1948,100 min,"Action, Crime, Drama            ",7.7,None,"40,492",None,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",Not Rated
903,Fantasia,1940,125 min,"Animation, Family, Fantasy            ",7.7,96,"95,057",$76.41M,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",G
904,Scarface,1932,93 min,"Action, Crime, Drama            ",7.7,87,"27,739",None,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",PG
905,Dark Waters,2019,126 min,"Biography, Drama, History            ",7.6,73,"85,116",None,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,PG-13
906,The Mitchells vs the Machines,2021,114 min,"Animation, Adventure, Comedy            ",7.6,81,"102,287",None,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",PG
907,Searching,III 2018,102 min,"Drama, Mystery, Thriller            ",7.6,71,"159,600",$26.02M,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",PG-13
908,Once Upon a Time... In Hollywood,2019,161 min,"Comedy, Drama            ",7.6,83,"692,864",$142.50M,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,R
909,Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Comedy            ",7.6,67,"654,600",$389.81M,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",PG-13
910,Bridge of Spies,2015,142 min,"Drama, History, Thriller            ",7.6,81,"307,146",$72.31M,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",PG-13
911,Incredibles 2,2018,118 min,"Animation, Action, Adventure            ",7.6,80,"287,031",$608.58M,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,PG
912,Moana,I 2016,107 min,"Animation, Adventure, Comedy            ",7.6,81,"322,834",$248.76M,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",PG
913,What We Do in the Shadows,2014,86 min,"Comedy, Horror            ",7.6,76,"179,130",$3.33M,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts.",R
914,Sicario,2015,121 min,"Action, Crime, Drama            ",7.6,82,"418,730",$46.89M,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,R
