,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
526,Whisper of the Heart,1995,111 min,"Animation, Drama, Family            ",7.9,75,"61,031",None,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",G
527,Ghost in the Shell,1995,83 min,"Animation, Action, Crime            ",7.9,76,"140,752",$0.52M,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,TV-MA
528,Once Were Warriors,1994,102 min,"Crime, Drama            ",7.9,77,"34,013",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,R
529,True Romance,1993,119 min,"Crime, Drama, Romance            ",7.9,59,"223,793",$12.28M,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",R
530,Three Colors: Blue,1993,94 min,"Drama, Music, Mystery            ",7.9,85,"100,401",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.,R
531,The Nightmare Before Christmas,1993,76 min,"Animation, Family, Fantasy            ",7.9,82,"327,669",$75.08M,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",PG
532,Carlito's Way,1993,144 min,"Crime, Drama, Thriller            ",7.9,65,"214,976",$36.95M,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",R
533,"Blood In, Blood Out",1993,180 min,"Crime, Drama            ",7.9,47,"31,115",$4.50M,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",R
534,Edward Scissorhands,1990,105 min,"Drama, Fantasy, Romance            ",7.9,74,"480,046",$56.36M,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",PG-13
535,My Left Foot,1989,103 min,"Biography, Drama            ",7.9,97,"73,638",$14.74M,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",R
536,Do the Right Thing,1989,120 min,"Comedy, Drama            ",7.9,93,"100,596",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",R
537,The Untouchables,1987,119 min,"Crime, Drama, Thriller            ",7.9,79,"304,430",$76.27M,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",R
538,The Sacrifice,1986,149 min,Drama            ,7.9,None,"27,911",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.",PG
539,Hannah and Her Sisters,1986,107 min,"Comedy, Drama            ",7.9,90,"71,099",$40.08M,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",PG-13
540,Brazil,1985,132 min,"Drama, Sci-Fi            ",7.9,84,"199,034",$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,R
541,This Is Spinal Tap,1984,82 min,"Comedy, Music            ",7.9,92,"138,550",$4.74M,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",R
542,A Christmas Story,1983,93 min,"Comedy, Family            ",7.9,77,"146,466",$20.61M,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.",PG
543,E.T. the Extra-Terrestrial,1982,115 min,"Adventure, Family, Sci-Fi            ",7.9,91,"400,101",$435.11M,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,PG
544,Kagemusha,1980,162 min,"Drama, History, War            ",7.9,84,"35,392",None,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,PG
545,The Blues Brothers,1980,133 min,"Action, Adventure, Comedy            ",7.9,60,"196,516",$57.23M,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",R
546,Manhattan,1979,96 min,"Comedy, Drama, Romance            ",7.9,83,"139,173",$45.70M,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,R
547,All the President's Men,1976,138 min,"Drama, History, Thriller            ",7.9,84,"113,769",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",PG
548,Amarcord,1973,123 min,"Comedy, Drama            ",7.9,None,"43,276",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,R
549,"Aguirre, the Wrath of God",1972,95 min,"Action, Adventure, Biography            ",7.9,None,"56,640",None,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Not Rated
550,Harold and Maude,1971,91 min,"Comedy, Drama, Romance            ",7.9,62,"76,820",None,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",PG
551,Patton,1970,172 min,"Biography, Drama, War            ",7.9,91,"101,286",$61.70M,The World War II phase of the career of controversial American general George S. Patton.,GP
552,The Conformist,1970,113 min,Drama            ,7.9,100,"30,071",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",R
553,The Wild Bunch,1969,135 min,"Action, Adventure, Western            ",7.9,97,"83,970",$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",R
554,The Lion in Winter,1968,134 min,"Biography, Drama, History            ",7.9,None,"31,329",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.",PG
555,In the Heat of the Night,1967,110 min,"Drama, Mystery, Thriller            ",7.9,75,"75,395",$24.38M,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.",Approved
556,In Cold Blood,1967,134 min,"Biography, Crime, Drama            ",7.9,89,"26,455",None,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.",R
557,Doctor Zhivago,1965,197 min,"Drama, Romance, War            ",7.9,69,"75,914",$111.72M,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",PG-13
558,A Fistful of Dollars,1964,99 min,"Action, Drama, Western            ",7.9,65,"213,940",$14.50M,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",R
559,Charade,1963,113 min,"Comedy, Mystery, Romance            ",7.9,83,"76,274",$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Passed
560,Vivre Sa Vie,1962,85 min,Drama            ,7.9,None,"31,321",None,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Not Rated
561,The Manchurian Candidate,1962,126 min,"Drama, Thriller            ",7.9,94,"75,081",None,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,PG-13
562,Spartacus,1960,197 min,"Adventure, Biography, Drama            ",7.9,87,"133,556",$30.00M,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",PG-13
563,Hiroshima Mon Amour,1959,90 min,"Drama, Romance            ",7.9,None,"31,704",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,Not Rated
564,Cat on a Hot Tin Roof,1958,108 min,Drama            ,7.9,84,"49,049",$17.57M,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Not Rated
565,The Ten Commandments,1956,220 min,"Adventure, Drama, Family            ",7.9,None,"70,480",$93.74M,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",G
566,The Searchers,1956,119 min,"Adventure, Drama, Western            ",7.9,94,"88,257",None,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,Passed
567,The Big Heat,1953,89 min,"Crime, Film-Noir, Thriller            ",7.9,None,"26,560",None,Tough cop Dave Bannion takes on a politically powerful crime syndicate.,Passed
568,A Streetcar Named Desire,1951,122 min,Drama            ,7.9,97,"107,033",$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,PG
569,Strangers on a Train,1951,101 min,"Crime, Drama, Film-Noir            ",7.9,88,"132,539",$7.63M,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,PG
570,In a Lonely Place,1950,94 min,"Drama, Film-Noir, Mystery            ",7.9,None,"31,159",None,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",Not Rated
571,Harvey,1950,104 min,"Comedy, Drama, Fantasy            ",7.9,None,"55,415",None,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Approved
572,Rope,1948,80 min,"Crime, Drama, Mystery            ",7.9,73,"141,258",None,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,Approved
573,Miracle on 34th Street,1947,96 min,"Comedy, Drama, Family            ",7.9,88,"47,444",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",Not Rated
574,Notorious,1946,102 min,"Drama, Film-Noir, Romance            ",7.9,100,"100,177",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,Not Rated
575,The Big Sleep,1946,114 min,"Crime, Film-Noir, Mystery            ",7.9,86,"84,889",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",Passed
576,Beauty and the Beast,1946,93 min,"Drama, Fantasy, Romance            ",7.9,92,"26,309",$0.30M,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.",Not Rated
577,The Lost Weekend,1945,101 min,"Drama, Film-Noir            ",7.9,None,"36,723",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Passed
578,Laura,1944,88 min,"Drama, Film-Noir, Mystery            ",7.9,None,"46,997",$4.36M,A police detective falls in love with the woman whose murder he is investigating.,Passed
579,Arsenic and Old Lace,1943,118 min,"Comedy, Crime, Thriller            ",7.9,None,"70,236",None,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,Not Rated
580,Sullivan's Travels,1941,90 min,"Adventure, Comedy, Drama            ",7.9,None,"26,159",None,Hollywood director John L Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,Passed
581,The Philadelphia Story,1940,112 min,"Comedy, Romance            ",7.9,96,"68,638",None,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",Not Rated
582,The Rules of the Game,1939,110 min,"Comedy, Drama            ",7.9,None,"28,816",None,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",Not Rated
583,The Adventures of Robin Hood,1938,102 min,"Action, Adventure, Romance            ",7.9,97,"50,732",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.",PG
584,The Thin Man,1934,91 min,"Comedy, Mystery            ",7.9,86,"29,372",None,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",TV-PG
585,King Kong,1933,100 min,"Adventure, Horror, Sci-Fi            ",7.9,90,"84,772",$10.00M,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,Passed
586,Freaks,1932,64 min,"Drama, Horror            ",7.9,80,"45,978",None,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",Not Rated
587,Nosferatu,1922,94 min,"Fantasy, Horror            ",7.9,None,"95,782",None,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Not Rated
588,The Gentlemen,2019,113 min,"Action, Comedy, Crime            ",7.8,51,"320,219",None,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",R
589,Dragon Ball Super: Broly,2018,100 min,"Animation, Action, Adventure            ",7.8,59,"26,468",$30.71M,"Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.",PG
590,Hindi Medium,2017,132 min,"Comedy, Drama            ",7.8,None,"28,213",None,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.,Not Rated
591,Call Me by Your Name,2017,132 min,"Drama, Romance            ",7.8,93,"259,934",$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",R
592,"I, Daniel Blake",2016,100 min,Drama            ,7.8,78,"59,372",$0.26M,"After surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance.",R
593,Isle of Dogs,2018,101 min,"Animation, Adventure, Comedy            ",7.8,82,"164,135",$32.02M,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",PG-13
594,Dunkirk,2017,106 min,"Action, Drama, History            ",7.8,94,"635,435",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",PG-13
595,Hidden Figures,2016,127 min,"Biography, Drama, History            ",7.8,74,"223,643",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,PG
596,Hunt for the Wilderpeople,2016,101 min,"Adventure, Comedy, Drama            ",7.8,81,"127,921",$5.20M,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,PG-13
597,Paddington 2,2017,103 min,"Adventure, Comedy, Family            ",7.8,88,"74,399",$40.44M,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",PG
598,Manchester by the Sea,2016,137 min,Drama            ,7.8,96,"275,208",$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,R
599,Land of Mine,2015,100 min,"Drama, History, War            ",7.8,75,"40,631",$0.44M,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",R
600,Rogue One: A Star Wars Story,2016,133 min,"Action, Adventure, Sci-Fi            ",7.8,65,"610,101",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",PG-13
601,Captain Fantastic,2016,118 min,"Comedy, Drama            ",7.8,72,"214,774",$5.88M,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",R
602,Captain America: Civil War,2016,147 min,"Action, Adventure, Sci-Fi            ",7.8,75,"758,604",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,PG-13
603,The Hateful Eight,2015,168 min,"Crime, Drama, Mystery            ",7.8,68,"581,118",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",R
604,Little Women,2019,135 min,"Drama, Romance            ",7.8,91,"193,088",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",PG
605,Loving Vincent,2017,94 min,"Animation, Biography, Crime            ",7.8,62,"57,098",$6.74M,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.",PG-13
606,Pride,I 2014,119 min,"Biography, Comedy, Drama            ",7.8,79,"56,041",None,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,R
607,Nightcrawler,2014,117 min,"Crime, Drama, Thriller            ",7.8,76,"526,956",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",R
608,Star Wars: Episode VII - The Force Awakens,2015,138 min,"Action, Adventure, Sci-Fi            ",7.8,80,"912,449",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",PG-13
609,The Lunchbox,2013,104 min,"Drama, Romance            ",7.8,76,"55,534",$4.23M,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,PG
610,Vicky Donor,2012,126 min,"Comedy, Romance            ",7.8,None,"42,958",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Not Rated
611,Big Hero 6,2014,102 min,"Animation, Action, Adventure            ",7.8,74,"449,776",$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",PG
612,About Time,I 2013,123 min,"Comedy, Drama, Fantasy            ",7.8,55,"339,372",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",R
613,English Vinglish,2012,134 min,"Comedy, Drama, Family            ",7.8,None,"36,087",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",Not Rated
614,The Best Offer,2013,131 min,"Crime, Drama, Mystery            ",7.8,49,"117,583",$0.09M,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,R
615,Captain America: The Winter Soldier,2014,136 min,"Action, Adventure, Sci-Fi            ",7.8,70,"820,460",$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",PG-13
616,Once Upon a Time in Anatolia,2011,157 min,"Crime, Drama            ",7.8,82,"46,023",$0.14M,A group of men set out in search of a dead body in the Anatolian steppes.,Not Rated
617,Moonrise Kingdom,2012,94 min,"Comedy, Drama, Romance            ",7.8,84,"344,886",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",PG-13
618,How to Train Your Dragon 2,2014,102 min,"Animation, Action, Adventure            ",7.8,77,"328,961",$177.00M,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",PG
619,The Big Short,2015,130 min,"Biography, Comedy, Drama            ",7.8,81,"417,886",$70.26M,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.",R
620,I Saw the Devil,2010,144 min,"Action, Crime, Drama            ",7.8,67,"126,870",$0.13M,A secret agent exacts revenge on a serial killer through a series of captures and releases.,Not Rated
621,The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery            ",7.8,71,"456,696",$102.52M,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.,R
622,Captain Phillips,2013,134 min,"Action, Biography, Crime            ",7.8,82,"452,368",$107.10M,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",PG-13
623,Straight Outta Compton,2015,147 min,"Biography, Drama, History            ",7.8,72,"198,034",$161.20M,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",R
624,The Irishman,2019,209 min,"Biography, Crime, Drama            ",7.8,94,"374,053",$7.00M,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,R
625,The Social Network,2010,120 min,"Biography, Drama            ",7.8,95,"685,616",$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",PG-13
626,A Prophet,2009,155 min,"Crime, Drama            ",7.8,90,"98,064",$2.08M,A young Algerian man is sent to a French prison.,R
627,Mother,2009,129 min,"Crime, Drama, Mystery            ",7.8,79,"62,512",$0.55M,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,R
628,The Chaser,2008,125 min,"Action, Crime, Drama            ",7.8,64,"65,211",None,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,Not Rated
629,Moon,2009,97 min,"Drama, Mystery, Sci-Fi            ",7.8,67,"354,832",$5.01M,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",R
630,The Hobbit: The Desolation of Smaug,2013,161 min,"Adventure, Fantasy            ",7.8,66,"644,948",$258.37M,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",PG-13
631,The White Ribbon,2009,144 min,"Drama, Mystery, Thriller            ",7.8,82,"73,116",$2.22M,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",R
632,The Girl with the Dragon Tattoo,2009,152 min,"Crime, Drama, Mystery            ",7.8,76,"215,900",$10.10M,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,R
633,Skyfall,2012,143 min,"Action, Adventure, Thriller            ",7.8,81,"686,866",$304.36M,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",PG-13
634,The Fighter,I 2010,116 min,"Action, Biography, Drama            ",7.8,79,"361,254",$93.62M,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",R
635,Taken,I 2008,90 min,"Action, Crime, Thriller            ",7.8,51,"595,183",$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",PG-13
636,Once,I 2007,86 min,"Drama, Music, Romance            ",7.8,88,"115,947",$9.44M,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",R
637,The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy            ",7.8,58,"805,826",$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",PG-13
638,Changeling,2008,141 min,"Biography, Crime, Drama            ",7.8,63,"253,166",$35.74M,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,R
639,Atonement,2007,123 min,"Drama, Mystery, Romance            ",7.8,85,"273,382",$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,R
640,Drive,I 2011,100 min,"Action, Drama            ",7.8,78,"620,816",$35.06M,"An action drama about a mysterious Hollywood stuntman and mechanic who moonlights as a getaway driver, and finds himself in trouble when he helps out his neighbor.",R
641,American Gangster,2007,157 min,"Biography, Crime, Drama            ",7.8,76,"420,438",$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",R
642,Avatar,2009,162 min,"Action, Adventure, Fantasy            ",7.8,83,"1,205,937",$760.51M,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,PG-13
643,Mr. Nobody,2009,141 min,"Drama, Fantasy, Romance            ",7.8,63,"230,695",$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",R
644,Apocalypto,2006,139 min,"Action, Adventure, Drama            ",7.8,68,"308,744",$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",R
645,The Fall,2006,117 min,"Adventure, Drama, Fantasy            ",7.8,64,"111,691",$2.28M,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",R
646,Little Miss Sunshine,2006,101 min,"Comedy, Drama            ",7.8,80,"471,782",$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,R
647,Hot Fuzz,2007,121 min,"Action, Comedy, Mystery            ",7.8,81,"497,505",$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.",R
648,The Curious Case of Benjamin Button,2008,166 min,"Drama, Fantasy, Romance            ",7.8,70,"637,319",$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",PG-13
649,Veer-Zaara,2004,192 min,"Drama, Family, Musical            ",7.8,67,"52,402",$2.92M,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Not Rated
650,Pride & Prejudice,2005,129 min,"Drama, Romance            ",7.8,82,"288,900",$38.41M,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",PG
651,The World's Fastest Indian,2005,127 min,"Biography, Drama, Sport            ",7.8,68,"54,702",$5.13M,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",PG-13
652,Tokyo Godfathers,2003,92 min,"Animation, Adventure, Comedy            ",7.8,73,"39,166",$0.13M,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",PG-13
653,Serenity,2005,119 min,"Action, Adventure, Sci-Fi            ",7.8,74,"294,238",$25.51M,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,PG-13
654,Crash,I 2004,112 min,"Crime, Drama, Thriller            ",7.8,66,"433,931",$54.58M,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",R
655,The Chorus,2004,97 min,"Comedy, Drama, Music            ",7.8,56,"61,626",$3.64M,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,PG-13
656,Walk the Line,2005,136 min,"Biography, Drama, Music            ",7.8,72,"248,190",$119.52M,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",PG-13
657,The Notebook,2004,123 min,"Drama, Romance            ",7.8,53,"559,975",$81.00M,"A poor yet passionate young man (Ryan Gosling) falls in love with a rich young woman (Rachel McAdams), giving her a sense of freedom, but they are soon separated because of their social differences.",PG-13
658,The Last Samurai,2003,154 min,"Action, Drama            ",7.8,55,"432,066",$111.11M,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,R
